parent,child,N_parent,N_joint,P_child_given_parent,w_bayes,keep_score,keep
Condition_of_Operators,Error,1682,770,0.457788,0.4578384798099763,-1.72913641622696,True
Condition_of_Operators,Violation,1682,958,0.56956,0.5694774346793349,2.8494219816697792,True
Failed_to_Correct_Problem,Condition_of_Operators,685,544,0.794161,0.7933042212518195,7.676506096515092,True
Failed_to_Correct_Problem,Personnel_Factors,685,432,0.630657,0.6302765647743813,3.409663998203972,True
Failed_to_Correct_Problem,Situational_Factors,685,595,0.868613,0.8675400291120815,9.619443123424617,True
Inadequate_Supervision,Condition_of_Operators,612,408,0.666667,0.6661237785016286,4.109675314133563,True
Inadequate_Supervision,Personnel_Factors,612,208,0.339869,0.3403908794788273,-3.9485115763244045,False
Inadequate_Supervision,Situational_Factors,612,507,0.828431,0.8273615635179153,8.098477824910258,True
Organizational_Climate,Failed_to_Correct_Problem,1666,579,0.347539,0.3477218225419664,-6.215487091747568,False
Organizational_Climate,Inadequate_Supervision,1666,559,0.335534,0.3357314148681055,-6.704895524168635,False
Organizational_Climate,Planned_Inappropriate_Operations,1666,368,0.220888,0.2212230215827338,-11.378746053789838,False
Organizational_Climate,Supervisory_Violation,1666,80,0.048019,0.0485611510791366,-18.42622748065322,False
Personnel_Factors,Error,1057,393,0.371807,0.3720491029272899,-4.159880249385648,False
Personnel_Factors,Violation,1057,694,0.656575,0.6562795089707271,5.080886946666602,True
Planned_Inappropriate_Operations,Condition_of_Operators,584,419,0.717466,0.7167235494880546,5.237361224049525,True
Planned_Inappropriate_Operations,Personnel_Factors,584,313,0.535959,0.5358361774744027,0.8660203598822043,True
Planned_Inappropriate_Operations,Situational_Factors,584,536,0.917808,0.9163822525597268,10.062331800536095,True
Resource_Management/Organizational_Process,Failed_to_Correct_Problem,1454,447,0.307428,0.3076923076923077,-7.332952294206776,False
Resource_Management/Organizational_Process,Inadequate_Supervision,1454,262,0.180193,0.1806318681318681,-12.17793863145054,False
Resource_Management/Organizational_Process,Planned_Inappropriate_Operations,1454,404,0.277854,0.2781593406593406,-8.459084253674245,False
Resource_Management/Organizational_Process,Supervisory_Violation,1454,53,0.036451,0.037087912087912,-17.65146373676917,False
Situational_Factors,Error,1992,927,0.465361,0.4653961885656971,-1.544431332703186,True
Situational_Factors,Violation,1992,1059,0.531627,0.5315947843530592,1.4101329559463873,True
Supervisory_Violation,Condition_of_Operators,102,74,0.72549,0.7211538461538461,2.233544361368536,True
Supervisory_Violation,Personnel_Factors,102,69,0.676471,0.6730769230769231,1.7479912393318986,True
Supervisory_Violation,Situational_Factors,102,79,0.77451,0.7692307692307693,2.719097483405175,True
